username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BarclaysLeague;31/01/2018 21:55;1;1;. @AFCBournemouth striker Lewis Grabban signs for Aston Villa on loan https:// goo.gl/A6n1gD pic.twitter.com/4Ejn2TKGz4;;@AFCBournemouth;;9,58851E+17;https://twitter.com/BarclaysLeague/status/958851246995202048
Villains_News;31/01/2018 21:50;0;2;Bournemouth Striker Lewis Grabban Joins Championship Side Aston Villa on Loan http:// ift.tt/2FxPOb5;;;;9,5885E+17;https://twitter.com/Villains_News/status/958849979426181121
SportsOutsider_;31/01/2018 21:47;0;0;Deals on #deadlineday : Jordan #Hugill -> West Ham (transfer) Andy #King -> Swansea (loan) #Mitrovic -> Fulham (loan) Harry #Wilson -> Hull (loan) Kasey #Palmer -> Derby (loan) Lewis #Grabban -> Aston Villa (loan) #Afobe -> Wolves (loan);;;#deadlineday #Hugill #King #Mitrovic #Wilson #Palmer #Grabban #Afobe;9,58849E+17;https://twitter.com/SportsOutsider_/status/958849310086615041
GaryBolton91;31/01/2018 21:46;0;0;This makes Lewis Grabban 's announcement look like a Hollywood blockbuster https:// twitter.com/WestHamUtd/sta tus/958845715505143808 …;;;;9,58849E+17;https://twitter.com/GaryBolton91/status/958849086840557574
WolvesAyWe90;31/01/2018 21:46;5;23;"@AVFCOfficial - We bet you a Lewis Grabban ."" @Wolves - ""we'll see your Lewis Grabban and we'll raise you a Benik Afobe"" #wwfc""";;@AVFCOfficial @Wolves;#wwfc;9,58849E+17;https://twitter.com/WolvesAyWe90/status/958849008511995905
villanews_app;31/01/2018 21:46;0;0;Aston Villa complete Lewis Grabban signing - report: https://www. express.co.uk/sport/football /912808/Aston-Villa-Lewis-Grabban-Signing-Bournemouth-EFL-Championship …;;;;9,58849E+17;https://twitter.com/villanews_app/status/958848931475214336
Gee0798;31/01/2018 21:44;0;1;Benik Afobe, Kasey Palmer, Chris Martin, Lewis Grabban - Just a few names that Brentford could and should of gone for imo....;;;;9,58849E+17;https://twitter.com/Gee0798/status/958848559859863553
AstonVillaApp;31/01/2018 21:38;0;0;Aston Villa agree deal to sign Lewis Grabban http:// spont.ly/1RhiUFg #avfc;;;#avfc;9,58847E+17;https://twitter.com/AstonVillaApp/status/958847055484645376
FCEBournemouth;31/01/2018 21:30;0;0;Bournemouth Striker Lewis Grabban Joins Championship Side Aston Villa on Loan http://www. fcexclusive.com/news/bournemou th/bournemouth-striker-lewis-grabban-joins-championship-side-aston-villa-on-loan-5090088 … (Source: Sports Illustrated) #afcb;;;#afcb;9,58845E+17;https://twitter.com/FCEBournemouth/status/958845035461644288
ONTV_NIGERIA;31/01/2018 21:27;0;0;Bournemouth's Lewis Grabban joins Aston Villa to go on loan for second time this season | http:// ontvsite.com;;;;9,58844E+17;https://twitter.com/ONTV_NIGERIA/status/958844245938507779
BennettLikeRyan;31/01/2018 21:25;0;1;Mate you can afford Lewis Grabban now go back to fingering your sister x https:// twitter.com/truevillan10/s tatus/958841744874967040 …;;;;9,58844E+17;https://twitter.com/BennettLikeRyan/status/958843742517121026
RichAvery18;31/01/2018 21:25;0;2;Imagine going through all that effort just to announce the signing of... Lewis Grabban .;;;;9,58844E+17;https://twitter.com/RichAvery18/status/958843598115692547
Arez365;31/01/2018 21:21;0;0;cringier than ‘J Lingz’. Over Lewis Grabban as well! https:// twitter.com/avfcofficial/s tatus/958822265675755523 …;;;;9,58843E+17;https://twitter.com/Arez365/status/958842738807660546
VillaNewsOnly;31/01/2018 21:20;0;0;#AstonVilla #AVFC Aston Villa complete Deadline Day deal for Lewis Grabban #TheVillans #Villa #Villans http:// dld.bz/g9wEt;;;#AstonVilla #AVFC #TheVillans #Villa #Villans;9,58842E+17;https://twitter.com/VillaNewsOnly/status/958842385420693504
sporttlad;31/01/2018 21:19;0;0;Bournemouth's Lewis Grabban joins Aston Villa to go on loan for second time this season http:// dld.bz/g9wbR;;;;9,58842E+17;https://twitter.com/sporttlad/status/958842160341807105
sportsupdatefbb;31/01/2018 21:19;0;0;Bournemouth's Lewis Grabban joins Aston Villa to go on loan for second time this season http:// dld.bz/g9wbR;;;;9,58842E+17;https://twitter.com/sportsupdatefbb/status/958842129605955584
sportslab7;31/01/2018 21:19;0;0;Bournemouth's Lewis Grabban joins Aston Villa to go on loan for second time this season http:// dld.bz/g9wbR;;;;9,58842E+17;https://twitter.com/sportslab7/status/958842126372130817
sportsbetbf;31/01/2018 21:19;1;0;Bournemouth's Lewis Grabban joins Aston Villa to go on loan for second time this season http:// dld.bz/g9wbR;;;;9,58842E+17;https://twitter.com/sportsbetbf/status/958842124929327104
sportnsdesk;31/01/2018 21:19;0;0;Bournemouth's Lewis Grabban joins Aston Villa to go on loan for second time this season http:// dld.bz/g9wbR;;;;9,58842E+17;https://twitter.com/sportnsdesk/status/958842108269514752
